Date,spotPrice,year,spotPriceRolling,AveragePerYear,Year
2018-01-11 19:00:00,393.47,2018,,,2018
2018-01-11 20:00:00,345.14,2018,,,2018
2018-01-11 21:00:00,325.5,2018,,,2018
2018-01-11 22:00:00,304.97,2018,,,2018
2018-01-11 23:00:00,295.25,2018,,,2018
2018-01-12 00:00:00,293.5,2018,,,2018
2018-01-12 01:00:00,287.83,2018,,,2018
2018-01-12 02:00:00,285.68,2018,,,2018
2018-01-12 03:00:00,285.48,2018,,,2018
2018-01-12 04:00:00,289.59,2018,,,2018
2018-01-12 05:00:00,305.44,2018,,,2018
2018-01-12 06:00:00,325.01,2018,,,2018
2018-01-12 07:00:00,432.33,2018,,,2018
2018-01-12 08:00:00,460.61,2018,,,2018
2018-01-12 09:00:00,433.9,2018,,,2018
2018-01-12 10:00:00,426.27,2018,,,2018
2018-01-12 11:00:00,425.0,2018,,,2018
2018-01-12 12:00:00,387.23,2018,,,2018
2018-01-12 13:00:00,368.15,2018,,,2018
2018-01-12 14:00:00,359.35,2018,,,2018
2018-01-12 15:00:00,344.38,2018,,,2018
2018-01-12 16:00:00,387.04,2018,,,2018
2018-01-12 17:00:00,401.61,2018,,,2018
2018-01-12 18:00:00,376.47,2018,,,2018
2018-01-12 19:00:00,323.93,2018,,,2018
2018-01-12 20:00:00,308.77,2018,,,2018
2018-01-12 21:00:00,307.69,2018,,,2018
2018-01-12 22:00:00,297.03,2018,,,2018
2018-01-12 23:00:00,289.0,2018,,,2018
2018-01-13 00:00:00,296.83,2018,,,2018
2018-01-13 01:00:00,291.71,2018,,,2018
2018-01-13 02:00:00,287.08,2018,,,2018
2018-01-13 03:00:00,284.82,2018,,,2018
2018-01-13 04:00:00,283.44,2018,,,2018
2018-01-13 05:00:00,285.31,2018,,,2018
2018-01-13 06:00:00,288.95,2018,,,2018
2018-01-13 07:00:00,298.11,2018,,,2018
2018-01-13 08:00:00,303.72,2018,,,2018
2018-01-13 09:00:00,310.22,2018,,,2018
2018-01-13 10:00:00,313.17,2018,,,2018
2018-01-13 11:00:00,313.96,2018,,,2018
2018-01-13 12:00:00,313.86,2018,,,2018
2018-01-13 13:00:00,313.56,2018,,,2018
2018-01-13 14:00:00,309.03,2018,,,2018
2018-01-13 15:00:00,308.44,2018,,,2018
2018-01-13 16:00:00,333.94,2018,,,2018
2018-01-13 17:00:00,373.72,2018,,,2018
2018-01-13 18:00:00,361.41,2018,,,2018
2018-01-13 19:00:00,315.73,2018,,,2018
2018-01-13 20:00:00,301.16,2018,,,2018
2018-01-13 21:00:00,293.38,2018,,,2018
2018-01-13 22:00:00,288.85,2018,,,2018
2018-01-13 23:00:00,283.54,2018,,,2018
2018-01-14 00:00:00,284.31,2018,,,2018
2018-01-14 01:00:00,279.79,2018,,,2018
2018-01-14 02:00:00,276.05,2018,,,2018
2018-01-14 03:00:00,275.16,2018,,,2018
2018-01-14 04:00:00,274.18,2018,,,2018
2018-01-14 05:00:00,275.56,2018,,,2018
2018-01-14 06:00:00,278.9,2018,,,2018
2018-01-14 07:00:00,280.87,2018,,,2018
2018-01-14 08:00:00,283.62,2018,,,2018
2018-01-14 09:00:00,289.33,2018,,,2018
2018-01-14 10:00:00,292.58,2018,,,2018
2018-01-14 11:00:00,296.41,2018,,,2018
2018-01-14 12:00:00,293.26,2018,,,2018
2018-01-14 13:00:00,289.62,2018,,,2018
2018-01-14 14:00:00,294.54,2018,,,2018
2018-01-14 15:00:00,308.12,2018,,,2018
2018-01-14 16:00:00,327.3,2018,,,2018
2018-01-14 17:00:00,334.29,2018,,,2018
2018-01-14 18:00:00,319.73,2018,,,2018
2018-01-14 19:00:00,308.71,2018,,,2018
2018-01-14 20:00:00,300.54,2018,,,2018
2018-01-14 21:00:00,292.08,2018,,,2018
2018-01-14 22:00:00,288.54,2018,,,2018
2018-01-14 23:00:00,283.53,2018,,,2018
2018-01-15 00:00:00,264.64,2018,,,2018
2018-01-15 01:00:00,242.11,2018,,,2018
2018-01-15 02:00:00,227.25,2018,,,2018
2018-01-15 03:00:00,205.51,2018,,,2018
2018-01-15 04:00:00,267.1,2018,,,2018
2018-01-15 05:00:00,282.74,2018,,,2018
2018-01-15 06:00:00,295.92,2018,,,2018
2018-01-15 07:00:00,318.25,2018,,,2018
2018-01-15 08:00:00,329.57,2018,,,2018
2018-01-15 09:00:00,320.42,2018,,,2018
2018-01-15 10:00:00,310.28,2018,,,2018
